nama,populasi,lat,lon
Kota Bekasi,2648270,-6.2383,106.9756
Kota Bandung,2548780,-6.9175,107.6191
Kota Depok,2167960,-6.4025,106.7942
Kota Bogor,1083780,-6.5950,106.8167
Kota Tasikmalaya,759370,-7.3274, 108.2207
Kota Sukabumi,370680,-6.9181,106.9264
Kabupaten Bogor,5721620,-6.4851,106.7535
Kabupaten Bandung,3783210,-7.0015,107.6346
Kabupaten Bekasi,3303020,-6.2349,107.0166
Kabupaten Sukabumi,2852110,-6.9293,106.9241
Kabupaten Garut,2748700,-7.2105,107.8986
Jakarta Timur,3085065,-6.2250,106.9000
Jakarta Selatan,2219285,-6.2667,106.8000
Jakarta Barat,2139009,-6.1767,106.7550
Jakarta Utara,1167172,-6.1380,106.8825
Jakarta Pusat,1038356,-6.1862,106.8345
Kepulauan Seribu,29088,-5.7200,106.5700
